Name,Profile,Team,Matches_Played,Total_points,Successful_raids,Raid_points,Successful_tackles,Tackle_points,Avg_raid_points,Avg_tackle_points,Do_or_Die_raid_points,Super_raids,Super_tackles,Super_10s,High_5s,Season
abozar mohajermighani,Defender,Telugu Titans,63,162,,2,147,160,0.09,2.54,,,13,,7,All
naveen,Raider,Haryana Steelers,35,160,114,144,14,16,4.11,0.46,28,5,2,2,,All
ashish kumar,All Rounder,Bengaluru Bulls,83,157,37,46,98,111,0.71,1.34,10,,13,,4,All
shrikant tewthia,All Rounder,Bengal Warriors,71,157,66,78,70,79,1.86,1.11,6,2,9,1,2,All
ravi kumar,Defender,Haryana Steelers,92,156,,,137,156,0,1.7,,,19,,8,All
selvamani k,Raider,Haryana Steelers,56,156,109,150,6,6,2.83,0.11,63,7,,2,,All
nilesh shinde,Defender,Dabang Delhi,69,153,11,18,121,135,0.47,1.96,2,,14,,7,All
abolfazl maghsodloumahali,Raider,Gujarat Fortune Giants,47,152,117,144,7,8,3.2,0.17,41,4,1,,,All
surender singh,Raider,UP Yoddha,48,145,97,136,9,9,2.96,0.19,41,4,,2,,All
monu,Raider,Patna Pirates,52,142,62,75,57,67,1.6,1.29,22,2,10,,1,All
tushar patil,Raider,Patna Pirates,53,139,104,135,4,4,2.6,0.08,43,5,,,,All
sonu narwal,Raider,Puneri Paltan,33,138,116,138,,,4.18,0,22,3,,1,,All
rohit rana,Defender,U Mumba,82,138,1,2,131,136,0.22,1.66,,,5,,7,All
farhad rahimi milaghardan,All Rounder,Telugu Titans,58,127,42,53,70,74,1.2,1.28,7,,4,,1,All
sunil jaipal,Raider,Bengaluru Bulls,38,125,63,87,29,38,2.29,1,13,4,9,,1,All
sachin shingade,Defender,Haryana Steelers,75,119,,,109,119,,1.59,,,10,,5,All
hadi oshtorak,All Rounder,Patna Pirates,69,119,8,15,90,104,0.71,1.51,3,,14,,3,All
jasmer singh gulia,All Rounder,Bengaluru Bulls,52,116,7,7,102,109,0.5,2.1,2,,7,,5,All
pankaj mohite,Raider,Puneri Paltan,16,113,84,110,3,3,6.88,0.19,24,4,,3,,All
c. arun,Defender,Telugu Titans,87,111,2,4,92,107,0.2,1.23,,,15,,3,All
mohsen maghsoudloujafari,All Rounder,UP Yoddha,46,111,55,75,32,36,1.74,0.78,28,2,4,1,,All
athul ms,Raider,U Mumba,37,109,84,108,1,1,3,0.03,20,,,,,All
sunil,Defender,Tamil Thalaivas,63,109,2,4,98,105,0.36,1.67,1,,7,,2,All
vinod kumar,All Rounder,Gujarat Fortune Giants,47,109,41,62,38,47,1.35,1,18,2,9,,2,All
d. suresh kumar,Defender,U Mumba,59,103,,,91,103,,1.75,,,12,,6,All
gurvinder singh,Raider,Gujarat Fortune Giants,45,100,59,82,17,18,1.95,0.4,30,2,1,1,,All
darshan kadian,Raider,Puneri Paltan,39,100,66,89,8,11,2.47,0.28,25,2,3,1,,All
vikas kale,Defender,Haryana Steelers,59,98,,,90,98,0,1.66,,,8,,4,All
rohit kumar choudary,Raider,UP Yoddha,38,96,64,93,3,3,2.45,0.08,39,6,,1,,All
vinay,Raider,Haryana Steelers,19,96,66,92,4,4,4.84,0.21,14,6,,2,,All
bajirao hodage,Defender,Jaipur Pink Panthers,61,95,,,90,95,,1.56,,,5,,2,All
